商品名,JAN,UMAP1,UMAP2,希望小売価格
エル　ネン　デル　セラー,4935919072847,9.031985,6.0072203,1900.0
エル　ビヒア　デ　ラ　アタラヤ　オーガニック,4935919072854,9.805784,4.5583754,2000.0
コモロコ　オーガニック　SO2無添加,4935919072946,10.786176,5.7984657,2000.0
シゲ　アル　コネホ　ブランコ　ブルット,4935919072977,5.8925624,5.131478,1600.0
メディオディア　ロサド,4935919073011,10.508781,4.5476418,1700.0
マナデーロ　コレクシオン　デ　パルセラス,4935919073028,10.501294,4.6099358,2000.0
ラ　ヴァディーナ,4935919073035,8.01485,3.8085234,1900.0
オノロ　ベラ　ロサド,4935919073042,4.290328,4.0885305,1900.0
カステロ　アフルタード　テンプラニーリョ,4935919073059,10.716875,4.9761066,1800.0
カベルネ　ソーヴィニヨン　グラン　レセルバ,4935919080118,9.646198,6.0219364,1800.0
ラ　ミシオン　デ　ピルケ　シャルドネ　レセルバ,4935919080163,4.6591744,3.9749756,1400.0
エスピノ　カベルネ　ソーヴィニヨン,4935919080200,10.414777,6.1544313,2000.0
ソーヴィニヨン　ブラン　レセルバ,4935919080293,4.2743773,4.504019,1500.0
サンジョヴェーゼ　レセルバ,4935919080316,10.247495,5.1861796,1600.0
ラ　ミシオン　デ　ピルケ　カベルネ　ソーヴィニヨン　レセルバ,4935919080354,8.319801,4.550044,1400.0
ヴィオニエ　レセルバ,4935919080378,5.135799,4.9772553,1500.0
メルロ　レセルバ,4935919080385,10.212849,5.35773,1600.0
シャルドネ　レセルバ,4935919080392,4.642446,4.4754844,1600.0
エスピノ シャルドネ,4935919080415,4.2418547,4.7768955,2100.0
ペドロ　ヒメネス　レセルバ,4935919080446,4.5709677,4.448256,1400.0
ピノ　ノワール　レセルバ,4935919080644,7.597021,3.127791,1900.0
ドンナ　マリア　シラー　アパッシメント,4935919080668,10.760053,5.973714,1900.0
シャルドネ　グラン　レセルバ,4935919080903,4.2777467,4.326183,1700.0
ピノ　ノワール　グラン　レセルバ,4935919080910,9.759462,5.0262437,1900.0
メルロ　グラン　レセルバ,4935919080927,10.425414,5.6017513,1800.0
ソーヴィニヨン　ブラン　グラン　レセルバ,4935919080965,4.410545,4.219711,1800.0
シャトー　デ　ゼサール　ルージュ,4935919092364,8.792892,5.5832434,1600.0
ミュスカデ　セーヴル　エ　メーヌ,4935919094306,4.9938293,4.353255,2000.0
ドメーヌ デ オート ウーシュ ロゼ ダンジュ,4935919095303,6.9287167,4.2260146,1700.0
エリタージュ,4935919098854,8.565625,4.7163587,1800.0
ユルツィガー　ヴュルツガルテン　リースリング　ファインヘルプ,4935919193559,7.274037,4.4083314,2000.0
ヴァイスブルグンダー　ビショッフスクロイツ　トロッケン,4935919194624,4.0051823,3.9185612,2100.0
レッド　ヴィンヤード　ドルンフェルダー,4935919197175,7.4120016,4.1492105,2000.0
ホワイト　ヴィンヤード　モリオ　ムスカート,4935919197182,3.7867978,4.2577252,1900.0
ミュラー　トゥルガウ　フォン　レス,4935919198448,5.95498,3.9089444,2000.0
メッツオ　ベルジュラック　ルージュ,4935919212762,9.811074,6.3760567,1800.0
コトー　デュ　ポン　デュ　ガール　キュヴェ　デ　ガレ,4935919212915,8.659284,5.7659216,1500.0
ペイ　ドック　メルロ,4935919213578,7.4602566,3.224576,1400.0
ペイ　ドック　ピノ　ノワール,4935919213813,8.8511715,4.7334642,1600.0
ペイ　ドック　カベルネ　ソーヴィニヨン　キュヴェ　ド　ブリュ,4935919217569,8.976071,4.6761813,1600.0
ペイ　ドック　ヴィオニエ,4935919219723,5.5537515,3.6411693,1600.0
ペイ　ドック　シャルドネ,4935919310598,5.7844963,3.7457287,1500.0
ペイ　ドック　シャルドネ,4935919311861,4.906498,3.7973828,1600.0
ペイ　ドック　シラー,4935919311878,8.050854,5.424428,1450.0
ペイ　ドック　メルロ,4935919311885,8.5273,5.1981773,1450.0
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919312448,8.390622,5.413983,1450.0
ペイ　ドック　ピノ　ノワール,4935919312455,9.411035,6.240822,1750.0
コート　ド　ガスコーニュ　ブラン,4935919312813,5.747599,3.677449,1600.0
ペイ　ドック　ピノ　ノワール　キュヴェ　ド　ブリュ,4935919312981,8.897842,5.6614466,1700.0
マルベック　ラ　ヴィーニュ　ア　レオンス,4935919314237,9.524304,5.5964475,2000.0
フィトゥ,4935919314473,9.47572,5.590076,1800.0
ヴァントゥー　レ　テール　ルージュ,4935919316262,9.896504,5.6474743,2000.0
ヴァン　ド　ペイ　ド　メディテラネ　ルージュ　グルナッシュ,4935919316392,8.241445,4.812697,1700.0
ビュルル　エスク,4935919318006,9.38488,4.97017,1700.0
ペイ　ドック　ソーヴィニヨン　ブラン,4935919319140,6.028932,3.285066,1600.0
ペイ　ドック　マルスラン　セパージュ　ウーブリエ　No.7,4935919319157,9.007596,4.9203353,1500.0
ペイ　ドック　アリカンテ　ブーシェ　セパージュ　ウーブリエ　No.5,4935919319164,8.213721,5.7005167,1500.0
ペイ　ドック　カベルネ　ソーヴィニヨン,4935919319171,9.544068,6.1308994,1800.0
シャトー　ムーラン　クーレッシュ,4935919319843,9.954945,5.0371337,1800.0
カステロ　ダルバ　ドウロ　ブランコ,4935919360012,5.4691267,4.9807644,1800.0
カステロ　ダルバ　ドウロ　ティント,4935919360036,9.126072,5.2390585,1800.0
ベイラ　ティント,4935919360210,9.698383,5.168716,1900.0
ベイラ　ブランコ,4935919360258,4.616427,4.090385,1900.0
アルトス　ダ　ベイラ　ブランコ,4935919360289,6.1218367,3.2174869,1500.0
パッソ　デイ　カプリオーリ　トスカーナ　ロッソ,4935919940337,10.92112,5.373233,1800.0
チェラズオーロ　ダブルッツォ　スペリオーレ,4935919940399,3.6343782,4.016296,2000.0
コルテーゼ　アルト　モンフェッラート　グラッフィティ,4935919940412,4.7293634,3.6550915,1600.0
カーザ　バリコーニ　サンジョヴェーゼ,4935919940610,7.6796618,3.8220446,1300.0
ファンティーニ　チェラズオーロ　ダブルッツオ,4935919940658,6.7992325,3.1192617,1900.0
フェフェ　コンテ　トロザン　ブラン,4935919961547,5.1097527,3.5190375,1300.0
フェフェ　ヴァン　ド　フランス　ルージュ,4935919961554,8.055718,5.60827,1250.0
シャトー　レ　ヴァレー　ルージュ,4935919961592,8.32558,5.90829,1900.0
ヴュー　シャトー　ルネサンス,4935919962865,9.406897,5.72685,2000.0
キシナウル　ヴェキ　スプマン　ブリュット,4935919980012,6.403505,4.716705,1800.0
キシナウル　ヴェキ　スプマン　デミセック,4935919980029,7.1755185,4.294577,1800.0
ソーヴィニヨン　ブラン,4935919980043,5.1349664,4.757515,1400.0
リースリング　デ　ライン,4935919980050,5.035945,5.2148485,1400.0
シャルドネ,4935919980067,6.4687448,3.2599666,1400.0
カベルネ　ソーヴィニヨン,4935919980098,7.4151683,3.1517348,1400.0
インディヴィド　メルロ　カベルネ　ソーヴィニヨン,4935919980135,9.621579,5.5325894,1800.0
テンプラニーリョ　ドラゴン　ビノ　デ　ラ　ティエラ,8410396780219,8.430492,4.8206,1400.0
blendF,blendF,7.857709,5.6819158,
